wavelength,flux
350.6,0.105582513
351.2,0.124366369
351.8,0.113761349
352.5,0.116981003
353.1,0.126258488
353.8,0.118842603
354.4,0.14244831
355,0.145805295
355.7,0.130927749
356.3,0.129096666
357,0.130088502
357.6,0.156288243
358.2,0.161338979
358.9,0.160652323
359.5,0.154960708
360.2,0.140754559
360.8,0.116263828
361.4,0.11124361
362.1,0.10282063
362.7,0.112128634
363.3,0.148002594
364,0.161827268
364.6,0.138297856
365.3,0.132987716
365.9,0.150474556
366.5,0.164482338
367.2,0.162071412
367.8,0.171089494
368.5,0.169487297
369.1,0.193230335
369.7,0.222069886
370.4,0.21764477
371,0.213097581
371.7,0.199684901
372.3,0.195152972
372.9,0.215813687
373.6,0.224480812
374.2,0.205391775
374.8,0.213479057
375.5,0.203804837
376.1,0.18347982
376.8,0.18129778
377.4,0.160026703
378,0.171165789
378.7,0.1819234
379.3,0.218697642
380,0.221337453
380.6,0.240899519
381.2,0.28847715
381.9,0.289575799
382.5,0.245461967
383.2,0.223778897
383.8,0.253793393
384.4,0.258584726
385.1,0.203774319
385.7,0.16085069
386.4,0.140556191
387,0.152732891
387.6,0.191612879
388.3,0.239571984
388.9,0.218300908
389.5,0.215691615
390.2,0.233544671
390.8,0.23200351
391.5,0.23371252
392.1,0.244302281
392.7,0.294260319
393.4,0.307199969
394,0.322275883
394.7,0.333506523
395.3,0.283121233
395.9,0.192894636
396.6,0.126151675
397.2,0.205513848
397.9,0.298471809
398.5,0.327616541
399.1,0.267206073
399.8,0.180061799
400.4,0.235360494
401,0.385082017
401.7,0.443630884
402.3,0.476437781
403,0.481229114
403.6,0.491391623
404.2,0.514509041
404.9,0.540937667
405.5,0.525785458
406.2,0.513852903
406.8,0.508481727
407.4,0.507245747
408.1,0.504438087
408.7,0.483350118
409.4,0.488950179
410,0.501798276
410.6,0.514295415
411.3,0.551756313
411.9,0.542265202
412.6,0.493848325
413.2,0.488812848
413.8,0.563429465
414.5,0.577772946
415.1,0.562376593
415.8,0.556623941
416.4,0.566359197
